InvoiceNo,InvoiceDate,Total,CustomerId,Products
569227,2024-12-31T10:29:37.130Z,17846,119265,ALL
569229,2025-01-02T09:27:36.583Z,17846,119471,ALL
569231,2024-12-30T18:35:13.720Z,17846,119017,ALL
569232,2024-12-31T14:08:10.473Z,17846,119312,ALL
569241,2024-12-30T15:02:12.875Z,17846,119014,ALL
569245,2024-12-30T15:03:01.522Z,17846,119019,ALL
569247,2024-12-30T15:05:46.626Z,34105,118448,ALL
569250,2024-12-30T15:04:03.346Z,17846,119023,ALL
569251,2024-12-30T15:08:48.105Z,19879,79819,ALL
569256,2024-12-30T14:59:26.965Z,17846,119015,ALL
569262,2024-12-30T15:07:22.062Z,17846,119026,ALL
569263,2024-12-30T15:36:34.438Z,17846,107104,ALL
569266,2024-12-30T15:00:52.798Z,17846,55905,ALL
569270,2024-12-30T15:08:57.213Z,17846,119029,ALL
569272,2024-12-30T15:05:13.979Z,17846,119024,ALL
569274,2024-12-30T15:03:24.293Z,17846,119022,ALL
569278,2024-12-30T15:02:08.853Z,17846,76824,ALL
569284,2024-12-30T15:24:55.526Z,17846,119025,ALL
569289,2024-12-31T12:09:34.368Z,17846,119270,ALL
569291,2025-01-01T12:06:39.886Z,17846,108465,ALL
569293,2024-12-30T15:10:57.902Z,17846,110094,ALL
569301,2024-12-30T15:07:22.032Z,17846,119028,ALL
569302,2024-12-30T18:54:00.567Z,11951,119123,ALL
569303,2024-12-30T15:14:35.284Z,17846,119033,ALL
569305,2024-12-30T20:44:06.239Z,17846,119125,ALL
569306,2024-12-30T15:07:42.819Z,17846,80425,ALL
569313,2024-12-30T15:09:05.161Z,17846,119030,ALL
569314,2024-12-30T15:11:56.762Z,17846,119032,ALL
569317,2024-12-30T15:25:50.423Z,17846,47568,ALL
569319,2024-12-30T15:42:57.126Z,17846,11215,ALL
569322,2024-12-30T15:14:27.378Z,17846,119034,ALL
569324,2024-12-30T15:09:14.441Z,17846,119031,ALL
569333,2025-01-06T21:12:58.879Z,6261,112550,ALL
569340,2024-12-30T15:21:13.981Z,17846,119040,ALL
569344,2024-12-30T15:17:29.345Z,17846,119036,ALL
569346,2024-12-30T16:52:49.838Z,17846,88159,ALL
569347,2024-12-30T15:19:31.290Z,17846,119038,ALL
569354,2024-12-30T15:25:26.919Z,17846,119039,ALL
569356,2024-12-30T15:19:39.831Z,17846,119037,ALL
569371,2024-12-30T15:29:31.881Z,17846,119043,ALL
569382,2024-12-30T15:22:56.914Z,17846,86115,ALL
569384,2025-01-06T18:22:26.967Z,17846,98129,ALL
569387,2024-12-30T15:26:07.480Z,17846,119041,ALL
569389,2024-12-30T15:28:43.922Z,5447,119042,ALL
569392,2024-12-30T15:26:14.952Z,-34997,67007,ALL
569406,2024-12-30T16:05:36.026Z,17846,119004,ALL
569407,2024-12-30T15:26:10.991Z,17846,45410,ALL
569410,2024-12-30T19:38:24.526Z,17846,119137,ALL
569413,2024-12-30T15:28:33.492Z,17846,119044,ALL
569416,2025-01-06T14:52:09.721Z,17846,120534,ALL
569421,2025-01-05T09:53:25.023Z,17846,22664,ALL
569422,2024-12-30T15:28:58.048Z,17846,119045,ALL
569425,2024-12-30T15:37:37.326Z,17846,19060,ALL
569427,2024-12-30T15:46:52.806Z,17846,119057,ALL
569429,2024-12-31T15:46:47.219Z,30649,86787,ALL
569434,2024-12-30T15:31:00.636Z,17846,112110,ALL
569435,2024-12-30T15:31:19.725Z,17846,119047,ALL
569436,2024-12-30T15:31:21.650Z,66624,38758,ALL
569438,2024-12-30T15:30:12.090Z,17846,67007,ALL
569442,2024-12-30T15:31:42.481Z,17846,119048,ALL
569443,2024-12-30T15:32:47.650Z,-34997,98683,ALL
569444,2024-12-30T15:32:51.415Z,17846,7093,ALL
569448,2024-12-30T15:40:01.791Z,17846,119051,ALL
569450,2024-12-30T15:38:51.652Z,17846,16657,ALL
569451,2024-12-30T15:37:31.199Z,17846,104957,ALL
569452,2025-01-02T12:13:39.577Z,11952,25640,ALL
569454,2024-12-30T20:37:30.731Z,-34997,20904,ALL
569471,2024-12-30T15:36:10.142Z,17846,100211,ALL
569473,2024-12-30T15:37:00.565Z,17846,6580,ALL
569478,2025-01-06T18:55:39.797Z,38169,101550,ALL
569479,2024-12-30T15:51:36.335Z,17846,108882,ALL
569482,2024-12-30T18:06:23.369Z,30041,66811,ALL
569483,2024-12-30T15:47:23.460Z,20772,119054,ALL
569484,2025-01-06T19:49:39.301Z,26584,109490,ALL
569486,2024-12-30T15:47:42.420Z,17846,119056,ALL
569489,2024-12-30T20:59:45.385Z,17846,119050,ALL
569497,2024-12-30T15:46:25.916Z,17846,119058,ALL
569498,2024-12-30T15:42:16.553Z,17846,119052,ALL
569499,2024-12-30T15:42:01.004Z,17846,80283,ALL
569504,2024-12-30T15:43:18.478Z,17846,98683,ALL
569506,2024-12-30T15:44:10.711Z,17846,119055,ALL
569513,2024-12-30T15:44:04.937Z,17846,92595,ALL
569516,2024-12-30T15:47:22.005Z,17846,104812,ALL
569524,2024-12-30T15:47:47.361Z,17846,107104,ALL
569525,2024-12-30T17:00:07.902Z,17846,119085,ALL
